iter	MAPE	MAE	RMSE
0	0.9582707017	672895.6549	1485365.988
1	0.9581364509	672895.2566	1485390.024
2	0.9339935952	657879.3104	1469054.469
3	0.9096605966	643575.3878	1453736.55
4	0.8864098181	629206.1498	1437180.395
5	0.8649360834	615618.3202	1422198.806
6	0.8434069664	602726.5243	1408271.534
7	0.8239347245	592019.9977	1399310.875
8	0.803203018	580161.8449	1387489.879
9	0.7872712825	572334.3761	1381666.715
10	0.7681010326	561138.886	1370528.903
11	0.7505269055	549761.9293	1358286.363
12	0.7331526656	538738.0985	1345707.477
13	0.7155614522	528933.9916	1336545.453
14	0.7000690797	518240.7422	1324103.339
15	0.6853280223	508330.7356	1312144.048
16	0.6693132921	498388.5626	1301569.735
17	0.6537846478	489246.381	1291705.021
18	0.6398466539	480035.5474	1280833.992
19	0.6264091893	471704.9948	1271970.773
20	0.6127708969	463065.908	1261813.995
21	0.6005175393	454795.6434	1252469.215
22	0.5874227019	447121.0255	1244016.676
23	0.5747841571	440388.8	1237723.747
24	0.5629818845	432442.5641	1227624.133
25	0.5511090808	425571.5584	1221118.367
26	0.5413722723	420164.943	1216043.489
27	0.5308947296	413591.1937	1208559.983
28	0.5205231375	407774.005	1203050.253
29	0.5108619797	401973.8009	1197213.166
30	0.5006515141	396191.1784	1191260.433
31	0.4906153277	389890.524	1182571.207
32	0.4807778058	383135.0373	1172255.917
33	0.4713123445	377550.5927	1166155.524
34	0.4631845779	372202.3585	1159682.063
35	0.4538502578	366168.4147	1150987.949
36	0.4450488742	360686.3701	1143850.17
37	0.4364988764	356076.983	1139130.697
38	0.4292700242	350941.8435	1132542.598
39	0.4217577723	346444.6786	1127532.742
40	0.4152776243	342842.1967	1123354.539
41	0.4085912675	339045.1962	1119205.447
42	0.4020640877	334189.0381	1112011.708
43	0.3951426054	330804.0249	1108578.961
44	0.388530896	326836.6394	1103339.583
45	0.3820227433	323400.2204	1099764.397
46	0.3762122545	319332.2368	1093794.15
47	0.369990318	315032.8742	1086712.024
48	0.3634901082	311514.7354	1082589.362
49	0.3580318896	308813.7649	1079203.146
50	0.352591025	305893.2444	1075459.038
51	0.3478976466	303080.887	1072210.619
52	0.3431763473	300354.0154	1069317.714
53	0.3380015134	297226.278	1065168.569
54	0.3333431902	294255.0509	1060110.703
55	0.3285303874	291338.2443	1054244.289
56	0.3237154809	288713.4809	1051097.717
57	0.3191156503	285675.225	1044999.078
58	0.315181372	283927.5911	1043037.047
59	0.3114202242	282102.6614	1041068.086
60	0.3073562175	280611.7803	1039842.663
61	0.3034319844	278034.4346	1035652.25
62	0.2993235151	275177.7447	1029022.261
63	0.2954410843	272376.9782	1023519.227
64	0.2917711205	270359.4204	1020259.28
65	0.2881571815	268048.2392	1016789.559
66	0.2842755516	265863.3206	1013926.559
67	0.2812431623	263883.7098	1009174.723
68	0.27766576	262238.7132	1007238.129
69	0.2745326938	260057.3192	1003151.408
70	0.2718735548	258833.3711	1001870.506
71	0.2689206211	257661.0212	1000800.584
72	0.265886366	255590.2732	996465.238
73	0.2627968807	253271.3206	991229.8762
74	0.2602308853	252163.0132	989905.5449
75	0.2573071856	250485.2173	987172.3572
76	0.2550403056	248700.4919	982752.8212
77	0.2527814212	247109.0136	979756.979
78	0.2501429176	245407.4273	976170.7
79	0.247877621	244498.8138	975236.7529
80	0.2453613424	242983.0944	972549.6886
81	0.2443427614	242743.0205	972425.4809
82	0.2420538281	241400.2162	970308.764
83	0.2399157285	240226.8898	968641.6105
84	0.2379307261	238557.0441	963269.6533
85	0.2358100816	237518.1235	961933.394
86	0.2337665796	236210.3116	958452.2708
87	0.2318085673	234678.3403	953815.5179
88	0.2300094743	233179.6227	949896.8643
89	0.2284215438	231513.7565	944934.9162
90	0.2268459987	230371.3312	942590.9431
91	0.2251718723	229466.6899	941288.2606
92	0.2235436864	227873.6486	935017.2855
93	0.2220267357	227125.5774	934082.7684
94	0.2204359608	226001.4638	931243.0737
95	0.2190134874	225265.8361	930141.0552
96	0.2175608069	223938.6411	923888.1239
97	0.2162344934	222713.9282	920171.2519
98	0.2147492579	221607.5029	917321.1761
99	0.2134530511	220936.5594	915895.8154
100	0.2121197308	219915.5785	912744.6046
101	0.2108753075	218887.4356	910019.9784
102	0.2097256145	217883.3916	906273.9648
103	0.2084134236	216841.3335	903808.5328
104	0.2073114886	216277.9524	902396.0332
105	0.2062626722	215667.529	900890.7607
106	0.2052637587	214857.5264	898162.527
107	0.2043774669	214050.319	896456.2777
108	0.2034444809	213403.0525	891043.0641
109	0.2023716624	212281.5487	887746.1986
110	0.2014701905	211867.25	887213.6469
111	0.2005076448	211238.509	885730.6712
112	0.1995760591	210577.3109	884287.0653
113	0.1985892723	209676.2246	882301.4058
114	0.1977357542	208897.4368	879900.1111
115	0.1968540112	208217.1656	877844.0666
116	0.1961037673	207706.881	876595.232
117	0.1953282823	207120.154	874243.6701
118	0.1946272625	206328.0537	871470.429
119	0.1939281891	205705.7712	869846.6487
120	0.1936247433	205670.1918	869829.8432
121	0.1928376438	204799.4807	866626.598
122	0.1922822887	204219.0253	864987.7223
123	0.1918042384	203697.2579	863601.7082
124	0.1911388718	203133.5913	861983.962
125	0.1904176959	202352.3861	859244.2396
126	0.1899056566	201779.1216	857593.0125
127	0.1892768598	201390.1398	856902.8315
128	0.1887190639	201171.1752	856443.8477
129	0.1881329711	200346.5119	851645.9421
130	0.1875491805	200072.0426	851237.5306
131	0.1872161741	199721.9421	848972.7769
132	0.1866218024	199047.4755	846914.9057
133	0.1860935822	198453.6373	845419.4348
134	0.1856345768	198049.102	844575.6863
135	0.185175622	197737.8309	844016.7783
136	0.1845938869	197236.4343	842624.3929
137	0.1841090752	196885.5901	842022.8141
138	0.1836036594	196441.4859	839758.0864
139	0.1830661152	196032.9832	836653.7752
140	0.1826620929	195664.2961	835708.7822
141	0.1822902416	195261.125	834206.9466
142	0.1819473061	194914.1652	832284.1296
143	0.1816489161	194648.0869	831621.7973
144	0.1813499114	194098.2767	828455.3502
145	0.180938117	193880.8431	828084.3481
146	0.1806621852	193552.1788	826982.7708
147	0.1802695228	193195.3102	826297.8471
148	0.1800442729	192755.8068	824616.5605
149	0.179766746	192266.3224	821811.3598
150	0.179381151	191893.8603	820888.232
151	0.1790866884	191447.9564	819876.6312
152	0.1787813942	190938.2443	818084.5032
153	0.178464044	190775.9865	817730.7499
154	0.1780689487	190378.4157	816860.47
155	0.1777665165	189820.2836	813879.9647
156	0.1773872042	189388.6763	813178.6604
157	0.1771832552	189158.3261	811525.6808
158	0.1768531499	188932.2173	811238.4324
159	0.176551137	188512.2072	810108.6883
160	0.1763021268	188036.7049	807879.7465
161	0.176021224	187746.6082	807256.8673
162	0.1758240652	187333.2115	804763.4935
163	0.1755575861	187053.3366	804473.5547
164	0.175366234	186829.0195	803938.6468
165	0.1750966134	186064.0719	800792.2951
166	0.1748858319	185908.5456	800447.4163
167	0.1746486442	185532.5858	799489.5746
168	0.1744201289	185242.3451	797905.0655
169	0.1741923224	184998.7196	797007.4499
170	0.1738838499	184615.155	795560.1232
171	0.1735979369	184358.5271	794612.3499
172	0.1734175024	184018.0062	792590.7832
173	0.173109662	183569.8391	788664.9034
174	0.1729915047	183422.2796	788189.5406
175	0.1728240825	183191.333	787334.1292
176	0.1726679532	183016.0051	786693.819
177	0.1724078943	182827.3279	786202.7483
178	0.1722089621	182693.4222	785828.6821
179	0.1720354763	182453.413	785481.82
180	0.1718422887	182296.1519	784647.1239
181	0.1716324189	182157.4603	784570.3803
182	0.1714677025	181954.0523	782990.585
183	0.1712798599	181659.6994	781971.3837
184	0.1711392085	181385.9811	778064.4721
185	0.1709353702	181128.2305	776502.2536
186	0.170777755	181040.7668	776260.0952
187	0.1705951494	180766.747	775749.7455
188	0.1703934467	180504.5458	775073.9947
189	0.1701418932	180261.7849	774915.8849
190	0.1699595025	180024.1625	774763.3095
191	0.1697907174	179802.7159	774219.051
192	0.1695684605	179633.8593	773925.7641
193	0.1694139761	179245.0551	771505.6215
194	0.1692385708	178768.3398	769693.3135
195	0.1690062859	178642.582	769477.5024
196	0.1688192694	178440.5182	768216.841
197	0.1685856773	178236.6512	767881.0892
198	0.1683960827	177965.0282	767324.9675
199	0.1682498332	177875.739	767201.6891
200	0.168102861	177708.1299	766723.7396
201	0.1679284867	177418.8808	766251.6713
202	0.1678313262	177296.5803	765903.8017
203	0.1676905758	177059.3329	764501.0475
204	0.1674757304	176865.3062	764186.0577
205	0.167231536	176204.288	762279.1459
206	0.1670432037	176018.7281	762167.4319
207	0.1669092948	175849.4733	761670.9994
208	0.1667580851	175598.0851	761407.3121
209	0.1666023879	175249.9042	759914.0702
210	0.1664950674	175162.0303	759829.8599
211	0.1662939318	175010.9221	759669.7024
212	0.1661515977	174938.2364	759501.1016
213	0.1659664006	174703.4763	759303.5053
214	0.1659455114	174677.2351	759242.7887
215	0.1657973062	174463.1214	758866.6398
216	0.1656782534	174309.2617	758753.4823
217	0.165585732	174041.5837	755523.0324
218	0.1654304044	173883.8108	755287.5308
219	0.1652155176	173763.2863	755259.3362
220	0.165159913	173644.8716	754864.0819
221	0.1649809196	173564.7567	754777.226
222	0.1648707851	173467.8432	754549.1008
223	0.164854642	173430.4032	754389.9381
224	0.1647171713	173109.5919	752271.3974
225	0.1646023655	172944.597	751373.6405
226	0.1643472557	172749.3609	751238.4603
227	0.1642217625	172583.5154	751017.9869
228	0.1640649593	172221.9897	750096.9649
229	0.1639226594	171953.7188	749594.9987
230	0.1637606143	171680.497	748538.5075
231	0.1636536042	171601.699	748422.107
232	0.1634857981	171278.1693	747808.5568
233	0.163339504	170882.377	746730.0812
234	0.163210195	170761.7244	746666.6913
235	0.1630965917	170627.1892	746319.9069
236	0.1629059084	170575.2356	746296.5615
237	0.1627761739	170213.2118	744190.4677
238	0.1627133276	170181.6759	744169.4565
239	0.162515176	169842.4897	743754.41
240	0.1623718344	169693.9608	743679.4607
241	0.1621784428	169644.5199	743671.0473
