iter	Passed	Remaining
0	229	1149536
1	322	806510
2	401	669264
3	497	621747
4	582	582363
5	664	553092
6	742	529715
7	817	510427
8	903	500866
9	997	497617
10	1098	498204
11	1163	483744
12	1254	481229
13	1362	485301
14	1455	483773
15	1559	485830
16	1627	477158
17	1714	474426
18	1794	470381
19	1876	467290
20	1957	464125
21	2033	460061
22	2115	457667
23	2196	455508
24	2293	456384
25	2403	459760
26	2488	458285
27	2572	456766
28	2669	457636
29	2754	456329
30	2838	454921
31	2960	459686
32	3052	459515
33	3132	457526
34	3206	454900
35	3282	452565
36	3358	450511
37	3444	449723
38	3531	449265
39	3621	449026
40	3707	448382
41	3775	445729
42	3848	443653
43	3928	442489
44	4008	441394
45	4087	440210
46	4165	438962
47	4224	435866
48	4301	434605
49	4366	432317
50	4444	431298
51	4558	433714
52	4665	435468
53	4748	434891
54	4827	434057
55	4918	434208
56	4976	431598
57	5050	430363
58	5123	429060
59	5201	428263
60	5275	427107
61	5348	425997
62	5453	427399
63	5515	425407
64	5586	424168
65	5663	423357
66	5731	421987
67	5806	421160
68	5888	420830
69	5950	419073
70	6027	418431
71	6102	417668
72	6179	417081
73	6256	416489
74	6335	416055
75	6416	415752
76	6503	415818
77	6578	415139
78	6654	414504
79	6723	413499
80	6796	412740
81	6872	412177
82	6947	411548
83	7051	412656
84	7126	412061
85	7198	411345
86	7277	410992
87	7349	410223
88	7426	409803
89	7510	409728
90	7584	409172
91	7653	408274
92	7734	408102
93	7812	407727
94	7900	407909
95	8000	408712
96	8089	408905
97	8167	408551
98	8271	409478
99	8348	409071
100	8425	408678
101	8514	408877
102	8589	408377
103	8650	407238
104	8729	406965
105	8807	406620
106	8880	406087
107	8969	406304
108	9047	405986
109	9119	405383
110	9169	403876
111	9240	403291
112	9315	402863
113	9375	401834
114	9458	401766
115	9529	401241
116	9601	400714
117	9678	400419
118	9754	400095
119	9822	399461
120	9892	398886
121	9967	398543
122	10042	398203
123	10113	397693
124	10183	397154
125	10254	396661
126	10345	396950
127	10423	396750
128	10499	396441
129	10587	396617
130	10671	396621
131	10736	395937
132	10808	395525
133	10870	394746
134	10948	394563
135	11022	394216
136	11100	394030
137	11174	393701
138	11280	394479
139	11360	394354
140	11441	394273
141	11531	394516
142	11622	394743
143	11717	395132
144	11795	394961
145	11870	394657
146	11954	394676
147	12035	394585
148	12117	394514
149	12197	394371
150	12277	394278
151	12352	393980
152	12423	393586
153	12499	393324
154	12583	393349
155	12638	392440
156	12719	392357
157	12813	392687
158	12904	392906
159	12992	393009
160	13064	392664
161	13131	392163
162	13227	392527
163	13297	392118
164	13364	391634
165	13435	391262
166	13515	391137
167	13603	391258
168	13692	391420
169	13772	391299
170	13847	391045
171	13925	390895
172	13998	390570
173	14064	390091
174	14136	389757
175	14217	389699
176	14298	389625
177	14370	389296
178	14438	388876
179	14512	388605
180	14605	388863
181	14687	388811
182	14772	388844
183	14886	389643
184	14976	389795
185	15069	390014
186	15141	389699
187	15220	389582
188	15298	389433
189	15370	389113
190	15456	389152
191	15519	388634
192	15599	388524
193	15681	388484
194	15757	388292
195	15838	388210
196	15926	388294
197	16026	388688
198	16117	388845
199	16199	388780
200	16282	388753
201	16358	388545
202	16434	388350
203	16504	388018
204	16583	387885
205	16672	388007
206	16753	387910
207	16834	387830
208	16904	387504
209	16985	387427
210	17078	387618
211	17154	387434
212	17244	387545
213	17325	387470
214	17388	386995
215	17466	386840
216	17539	386591
217	17603	386140
218	17667	385695
219	17764	385980
220	17845	385888
221	17912	385523
222	18005	385713
223	18099	385913
224	18227	386834
225	18307	386716
226	18405	386993
227	18476	386701
228	18549	386459
229	18632	386421
230	18706	386203
231	18783	386034
232	18888	386447
233	19002	387043
234	19089	387069
235	19163	386849
236	19237	386622
237	19340	386970
238	19415	386773
239	19495	386655
240	19584	386735
241	19670	386737
242	19743	386508
243	19867	387249
244	19953	387266
245	20039	387276
246	20148	387717
247	20235	387741
248	20322	387750
249	20413	387863
250	20500	387872
251	20605	388224
252	20697	388338
253	20790	388475
254	20875	388439
255	20961	388441
256	21045	388398
257	21128	388338
258	21210	388262
259	21310	388498
260	21406	388679
261	21506	388930
262	21586	388795
263	21658	388532
264	21737	388397
265	21831	388526
266	21912	388429
267	21979	388087
268	22063	388036
269	22140	387876
270	22211	387593
271	22291	387486
272	22373	387405
273	22455	387313
274	22530	387108
275	22606	386927
276	22672	386579
277	22743	386309
278	22832	386356
279	22902	386067
280	22985	386011
281	23067	385938
282	23145	385790
283	23250	386091
284	23325	385901
285	23417	385974
286	23498	385888
287	23573	385681
288	23648	385488
289	23725	385337
290	23806	385244
291	23891	385209
292	23974	385154
293	24053	385023
294	24141	385037
295	24219	384890
296	24289	384620
297	24366	384466
298	24477	384840
299	24572	384962
300	24672	385170
301	24758	385154
302	24859	385364
303	24943	385317
304	25018	385122
305	25102	385062
306	25191	385098
307	25275	385037
308	25359	384994
309	25446	384982
310	25535	384998
311	25622	384987
312	25718	385117
313	25784	384792
314	25891	385083
315	25969	384936
316	26045	384769
317	26119	384568
318	26197	384425
319	26267	384165
320	26338	383916
321	26407	383644
322	26497	383679
323	26572	383493
324	26646	383306
325	26726	383189
326	26801	383000
327	26879	382870
328	26962	382795
329	27039	382645
330	27121	382570
331	27211	382599
332	27347	383279
333	27452	383519
334	27575	384004
335	27660	383958
336	27751	383990
337	27837	383958
338	27949	384285
339	28059	384575
340	28158	384722
341	28255	384830
342	28350	384925
343	28427	384762
344	28508	384653
345	28598	384671
346	28669	384435
347	28753	384370
348	28830	384218
349	28907	384057
350	28981	383862
351	29079	383977
352	29151	383754
353	29233	383663
354	29347	383996
355	29422	383813
356	29502	383693
357	29606	383886
358	29730	384339
359	29808	384204
360	29882	384001
361	29961	383872
362	30037	383701
363	30119	383604
364	30194	383424
365	30267	383227
366	30348	383122
367	30421	382909
368	30495	382718
369	30570	382543
370	30657	382513
371	30729	382304
372	30804	382121
373	30879	381948
374	30954	381770
375	31028	381581
376	31108	381474
377	31183	381290
378	31259	381129
379	31336	380989
380	31425	380977
381	31522	381075
382	31610	381055
383	31706	381135
384	31788	381043
385	31864	380888
386	31938	380699
387	32007	380463
388	32082	380290
389	32157	380117
390	32234	379966
391	32311	379824
392	32382	379609
393	32463	379505
394	32535	379300
395	32615	379193
396	32691	379040
397	32779	379025
398	32849	378796
399	32925	378647
400	33000	378480
401	33080	378368
402	33160	378262
403	33236	378111
404	33318	378018
405	33393	377861
406	33471	377720
407	33549	377599
408	33617	377348
409	33685	377117
410	33782	377200
411	33859	377060
412	33943	376996
413	34018	376833
414	34099	376741
415	34177	376609
416	34259	376522
417	34336	376390
418	34410	376217
419	34484	376044
420	34563	375927
421	34651	375906
422	34736	375862
423	34836	375966
424	34922	375928
425	35000	375806
426	35093	375832
427	35169	375686
428	35252	375620
429	35334	375531
430	35429	375582
431	35500	375387
432	35570	375176
433	35643	374994
434	35720	374861
435	35795	374707
436	35870	374544
437	35952	374462
438	36037	374414
439	36110	374238
440	36188	374114
441	36267	373993
442	36350	373923
443	36427	373788
444	36505	373668
445	36589	373604
446	36673	373549
447	36753	373442
448	36832	373328
449	36915	373251
450	36990	373100
451	37066	372965
452	37140	372800
